1401,10,12,26,127,0,0,0,325,0
,7,1780,0,13,0,0,6,0,2,93
,71,34,59,23,1,0,0,123,1588,2
,56,0,95,1125,18,0,0,84,523,0
,1726,0,0,21,152,0,0,0,0,2
,100,0,0,0,0,219,50,0,0,162
,6,0,0,0,0,135,1639,0,83,38
,14,0,93,978,0,0,0,792,24,0
,5,65,110,1068,1,0,0,16,636,0
,3,0,0,0,0,231,349,0,0,1318


,610,5,42,8,1116,96,0,0,0,24
,8,1614,7,13,1,0,0,13,245,0
,0,0,640,50,0,65,0,1110,36,0
,142,307,86,96,121,0,0,83,1026,40
,1012,0,0,0,875,0,0,3,11,0
,0,0,0,0,0,334,128,0,0,69
,0,0,0,0,0,19,1811,0,0,71
,17,0,574,2,4,0,0,1291,13,0
,0,0,620,22,0,0,0,0,1259,0
,0,0,0,0,0,8,244,0,0,1649


,1205,0,0,5,690,0,0,0,1,0
,0,1840,0,55,0,0,0,0,6,0
,0,4,299,1553,0,0,0,17,28,0
,0,0,329,1560,0,0,0,0,12,0
,889,0,0,19,988,0,0,3,2,0
,1,7,0,0,0,318,124,0,0,81
,0,0,0,4,0,29,1304,0,0,564
,7,1,1269,362,0,0,0,109,153,0
,14,6,472,182,0,0,0,30,1197,0
,38,273,0,4,48,77,232,0,0,1229